#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Cryptococcus gattii VMGC3	1441722	PRJNA232699	232699	Fungi	Basidiomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	JCVI	-
Taeniopygia guttata	59729	PRJNA17289	17289	Animals	Birds	1232.14	41.3374	GCA_000151805.2	35	1	-	ABQF01	37422	15287	14750	2006/03/08	2009/04/15	Chromosomes	Washington University Genome Sequencing Center	-
Oikopleura dioica	34765	PRJEA42427	42427	Animals	Other Animals	70.4715	39.8	GCA_000209535.1	-	-	-	CABV01	1260	17212	17152	2010/12/01	2010/12/01	Scaffolds or contigs	Genoscope - Institut de Genomique - CEA	-
Oikopleura dioica	34765	PRJEA42427	42427	Animals	Other Animals	45.1412	39.9	GCA_000209555.1	-	-	-	CABW01	4196	13527	13505	2010/12/01	2010/12/01	Scaffolds or contigs	Genoscope - Institut de Genomique - CEA	-
Salmo salar	8030	PRJNA72713	72713	Animals	Fishes	2435.04	42.6	GCA_000233375.1	-	-	-	AGKD01	-	-	-	2011/10/25	2011/10/25	Scaffolds or contigs	International Cooperation to Sequence the Atlantic Salmon Genome	-
Entamoeba dispar SAW760	370354	PRJNA12914	12914	Protists	Other Protists	30.6332	24.1	GCA_000209125.2	-	-	-	AANV02	12258	2144	2144	2006/02/11	2009/08/26	Scaffolds or contigs	TIGR	-
Ostreococcus tauri	70448	PRJNA12912	12912	Plants	Green Algae	12.5723	59.0186	GCA_000214015.1	20	2	-	CAID01	22	8114	7994	2005/04/30	2007/04/13	Chromosomes	Laboratoire Arago, France	-
Entamoeba invadens IP1	370355	PRJNA12926	12926	Protists	Other Protists	40.8783	2	GCA_000330505.1	-	-	-	AANW03	1144	3830	3827	2006/02/11	2013/03/27	Scaffolds or contigs	TIGR	-
Phaseolus vulgaris	3885	PRJNA41439	41439	Plants	Land Plants	521.077	35	GCA_000499845.1	11	-	-	ANNZ01	708	138	146	2013/11/26	2013/11/29	Chromosomes	JGI	-
Phaseolus vulgaris	3885	PRJNA201998	201998	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Southern Crop Production and Food Research Centre, Agriculture and Agri-Food Canada	-
Phaseolus vulgaris	3885	PRJNA221782	221782	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	PhasIbeAm	-
Physcomitrella patens	3218	PRJNA13064	13064	Plants	Land Plants	477.948	34.0151	GCA_000002425.1	-	2	-	ABEU01	1990	223	151	2003/09/06	2010/03/26	Scaffolds or contigs	Moss Genome Consortium	-
Prunus persica	3760	PRJNA31227	31227	Plants	Land Plants	227.252	37.5	GCA_000346465.1	-	-	-	AKXU01	202	28087	28927	2013/03/14	2013/05/23	Scaffolds or contigs	JGI	-
Prunus persica	3760	PRJNA54011	54011	Plants	Land Plants	214.225	37.5	GCA_000218175.1	-	-	-	AEJG01	30834	-	-	2011/06/01	2013/11/01	Scaffolds or contigs	UC Davis Genome Center Bioinformatics Core	SAMN00115266
Prunus persica	3760	PRJNA54013	54013	Plants	Land Plants	207.185	37.5	GCA_000218215.1	-	-	-	AEKV01	43890	-	-	2011/06/01	2013/11/01	Scaffolds or contigs	UC Davis Genome Center Bioinformatics Core	SAMN00115267
Prunus persica	3760	PRJNA54015	54015	Plants	Land Plants	211.308	37.2	GCA_000218195.1	-	-	-	AEKW01	35219	-	-	2011/06/01	2013/11/01	Scaffolds or contigs	UC Davis Genome Center Bioinformatics Core	SAMN00115268
Prunus persica	3760	PRJNA197462	197462	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	BGI	-
Culex quinquefasciatus	7176	PRJNA18751	18751	Animals	Insects	579.042	37.4	GCA_000209185.1	-	-	-	AAWU01	3171	22629	18883	2007/04/19	2009/08/27	Scaffolds or contigs	Broad Institute	-
Papio anubis	9555	PRJNA54005	54005	Animals	Mammals	2948.38	41.0507	GCA_000264685.1	21	-	-	AHZZ01	72500	-	-	2012/06/05	2012/06/05	Chromosomes	Baylor College of Medicine	-
Papio anubis	9555	PRJNA169345	169345	Animals	Mammals	2948.38	41.1229	GCA_000264685.1	21	-	-	AHZZ01	72500	30956	29298	2012/05/30	2012/06/05	Chromosomes	NCBI	-
Solanum tuberosum	4113	PRJNA193642	193642	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	MSU-BUELL	-
Solanum tuberosum	4113	PRJNA63145	63145	Plants	Land Plants	705.934	35.6005	GCA_000226075.1	-	1	-	AEWC01	14854	141	84	2006/03/08	2010/04/15	Scaffolds or contigs	Potato Genome Sequencing Consortium	-
Vitis vinifera	29760	PRJEA18785	16688	Plants	Land Plants	486.261	35.0279	GCA_000003745.2	19	2	-	CAAP03	2067	24571	23418	2006/04/10	2009/06/30	Chromosomes	University of Central Florida, Dept. of Molecular Biology & Microbiology, Biomolecular Science, USA, Orlando	-
Vitis vinifera	29760	PRJNA203534	203534	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Verona	-
Vitis vinifera	29760	PRJNA207665	207665	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	CRG-INIA	-
Galdieria sulphuraria	130081	PRJNA13023	13023	Other	Other	13.712	17.5	GCA_000341285.1	-	-	-	ADNM02	433	6723	7174	2013/01/08	2013/04/03	Scaffolds or contigs	Galdieria sulphuraria Genome Project	-
Ostreococcus lucimarinus CCE9901	436017	PRJNA13044	13044	Plants	Green Algae	13.2049	60.4431	GCA_000092065.1	21	-	-	-	21	7640	7603	2007/04/10	2011/01/14	Chromosomes	US DOE Joint Genome Institute	-
Selaginella moellendorffii	88036	PRJNA13078	13078	Plants	Land Plants	212.502	45.2	GCA_000143415.2	-	-	-	ADFJ01	758	34782	34747	2010/06/24	2011/07/05	Scaffolds or contigs	Selaginella Consortium	-
Volvox carteri f. nagariensis	3068	PRJNA13109	13109	Plants	Green Algae	137.684	56	GCA_000143455.1	-	-	-	ACJH01	1251	14437	14436	2010/07/06	2010/08/13	Scaffolds or contigs	US DOE Joint Genome Institute (JGI-PGF)	-
Phaeodactylum tricornutum CCAP 1055/1	556484	PRJNA13152	13152	Other	Other	27.4507	48.8432	GCA_000150955.2	33	-	-	ABQD01	88	10398	10408	2008/10/10	2009/05/06	Chromosomes	Diatom Consortium	-
Candida dubliniensis CD36	573826	PRJEA34697	34697	Fungi	Ascomycetes	14.6184	33.2489	GCA_000026945.1	8	-	-	-	8	6095	5860	2009/02/16	2010/01/31	Chromosomes	Wellcome Trust Sanger Institute	-
Cryptosporidium hominis	353151	PRJNA13200	13200	Protists	Apicomplexans	8.74357	30.9	GCA_000006425.1	-	-	-	AAEL01	1422	3955	3885	2004/10/27	2013/12/17	Scaffolds or contigs	Virginia Commonwealth University	-
Cryptosporidium hominis	237895	PRJNA222836	222836	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Cryptosporidium hominis	237895	PRJNA222837	222837	Protists	Apicomplexans	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	IGS	-
Nicotiana tabacum	4097	PRJNA72933	72933	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Queen Mary University of London	-
Aspergillus niger ATCC 1015	380704	PRJNA15785	15785	Fungi	Ascomycetes	34.8533	50.3	GCA_000230395.2	-	-	-	ACJE01	24	10947	10950	2011/10/12	2011/10/12	Scaffolds or contigs	DOE Joint Genome Institute	-
Aspergillus niger CBS 513.88	425011	PRJNA15772	15772	Fungi	Ascomycetes	34.0067	50.3893	GCA_000002855.1	1	1	-	Unplaced	20	11408	11182	2005/09/26	2008/07/09	Scaffolds or contigs	University of Szeged, Hungary	-
Aspergillus niger HBR18	1445556	PRJEB5180	237181	Fungi	Ascomycetes	32.8415	51.2	GCA_000530345.1	-	-	-	CBWZ01	-	-	-	2014/02/02	2014/02/02	Scaffolds or contigs	SVSB	-
Aureococcus anophagefferens	44056	PRJNA13500	13500	Protists	Other Protists	56.6606	69.5	GCA_000186865.1	-	-	-	ACJI01	1185	11522	11520	2011/01/26	2011/03/22	Scaffolds or contigs	DOE Joint Genome Institute	-
Manihot esculenta	3983	PRJNA17471	17471	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	DOE Joint Genome Institute	-
Callithrix jacchus	9483	PRJNA20401	20401	Animals	Mammals	2914.96	41.3144	GCA_000004665.1	24	-	-	ACFV01	16399	30292	22561	2010/01/21	2010/01/22	Chromosomes	Washington University (WashU)	-
Aplysia californica	6500	PRJNA13635	13635	Animals	Other Animals	927.31	41.9999	GCA_000002075.2	-	1	-	AASC03	4332	20496	25054	2004/03/18	2009/04/14	Scaffolds or contigs	Broad Institute	-
Schizosaccharomyces octosporus yFS286	483514	PRJNA13639	13639	Fungi	Ascomycetes	11.6345	37.5	GCA_000150505.2	-	-	-	ABHY03	5	5347	4986	2007/12/12	2013/07/30	Scaffolds or contigs	Broad Institute	-
Schizosaccharomyces japonicus yFS275	402676	PRJNA13640	13640	Fungi	Ascomycetes	11.3004	43.7	GCA_000149845.1	-	-	-	AATM01	20	5227	4814	2006/10/11	2013/08/16	Scaffolds or contigs	Broad Institute	-
Batrachochytrium dendrobatidis JEL423	403673	PRJNA13653	13653	Fungi	Other Fungi	23.8977	39.3	GCA_000149865.1	-	-	-	AATT01	70	-	-	2006/10/20	2007/01/17	Scaffolds or contigs	Broad Institute	-
Batrachochytrium dendrobatidis JAM81	684364	PRJNA41157	41157	Fungi	Other Fungi	24.3151	39.3	GCA_000203795.1	-	-	-	ADAR01	127	8700	8700	2011/04/07	2014/01/22	Scaffolds or contigs	US DOE Joint Genome Institute (JGI-PGF)	-
Rhodnius prolixus	13249	PRJNA13648	13648	Animals	Insects	702.645	34	GCA_000181055.2	-	-	-	ACPB02	27872	-	-	2009/06/17	2010/12/09	Scaffolds or contigs	Washington University Genome Sequencing Center	-
Acyrthosiphon pisum	7029	PRJNA13657	13657	Animals	Insects	541.692	31.1995	GCA_000142985.2	-	1	-	ABLF02	23925	16932	17718	2008/04/01	2008/12/11	Scaffolds or contigs	Baylor College of Medicine	-
Nasonia vitripennis	7425	PRJNA13660	13660	Animals	Insects	297.648	43.2652	GCA_000002325.1	5	-	-	AAZX01	6173	12119	12988	2007/05/04	2011/09/22	Chromosomes	Baylor College of Medicine	-
Otolemur garnettii	30611	PRJNA16955	16955	Animals	Mammals	2519.72	-	GCA_000181295.3	-	-	-	AAQR03	7793	-	-	-	-	Scaffolds or contigs	Broad Institute	-
Otolemur garnettii	30611	PRJNA169348	169348	Animals	Mammals	2519.72	41.1	GCA_000181295.3	-	-	-	AAQR03	7793	-	-	2006/06/02	2011/03/16	Scaffolds or contigs	NCBI	-
Zymoseptoria tritici STIR04_A26b	983958	PRJNA62705	62705	Fungi	Ascomycetes	32.6413	53.5	GCA_000223645.2	-	-	-	AFIP01	1154	-	-	2011/08/08	2012/07/05	Scaffolds or contigs	University of Aarhus, Bioinformatics Research Center	-
Zymoseptoria tritici STIR04 A48b	985138	PRJNA63029	63029	Fungi	Ascomycetes	31.7941	53.6	GCA_000223625.2	-	-	-	AEYQ01	940	-	-	2011/08/08	2012/07/05	Scaffolds or contigs	University of Aarhus, Bioinformatics Research Center	-
Zymoseptoria tritici IPO323	336722	PRJNA19047	19047	Fungi	Ascomycetes	39.6863	52.1	GCA_000219625.1	21	-	-	ACPE01	21	10964	10963	2011/06/22	2012/07/30	Chromosomes	DOE Joint Genome Institute	-
Phaeosphaeria nodorum SN15	321614	PRJNA13754	13754	Fungi	Ascomycetes	37.214	46.4118	GCA_000146915.2	-	1	-	AAGI01	108	53	28	2005/04/04	2009/04/21	Scaffolds or contigs	Broad Institute	-
Oryza rufipogon	4529	PRJNA170150	170150	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	bioinplant	-
Oryza glaberrima	4538	PRJNA13765	13765	Plants	Land Plants	17.4575	42.8	GCA_000147395.1	-	-	-	ADWL01	1	-	-	2010/07/08	2010/09/22	Scaffolds or contigs	The Oryza Map Alignment Project (OMAP)	-
Ictidomys tridecemlineatus	43179	PRJNA13937	13937	Animals	Mammals	1913.37	39.8	GCA_000181315.1	-	-	-	AAQQ01	-	-	-	2006/06/06	2007/01/17	Scaffolds or contigs	The Genome Sequencing Platform, The Genome Assembly Team	-
Ictidomys tridecemlineatus	43179	PRJNA61725	61725	Animals	Mammals	2478.39	39.9	GCA_000236235.1	-	-	-	AGTP01	12483	-	-	2011/11/25	2013/11/01	Scaffolds or contigs	Broad Institute	SAMN00210855
Tupaia belangeri	37347	PRJNA13971	13971	Animals	Mammals	2137.23	41.4	GCA_000181375.1	-	-	-	AAPY01	-	-	-	2006/06/08	2007/01/17	Scaffolds or contigs	Broad Institute	-
Tupaia belangeri	37347	PRJNA20273	20273	Animals	Mammals	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Washington University (WashU)	-
Nomascus leucogenys	61853	PRJNA13975	13975	Animals	Mammals	2962.06	41.4135	GCA_000146795.3	26	-	-	ADFV01	17524	-	-	2012/12/08	2012/12/08	Chromosomes	Gibbon Genome Sequencing Consortium	-
Nomascus leucogenys	61853	PRJNA62133	62133	Animals	Mammals	2962.06	41.3657	GCA_000146795.3	26	-	-	ADFV01	17524	28405	29962	2010/08/31	2012/12/08	Chromosomes	NCBI	-
Heterorhabditis bacteriophora	37862	PRJNA13977	13977	Animals	Roundworms	76.9743	33.3	GCA_000223415.1	-	-	-	ACKM01	1240	-	-	2011/08/16	2013/07/25	Scaffolds or contigs	Washington University Genome Sequencing Center	-
Sclerotinia sclerotiorum 1980 UF-70	665079	PRJNA15530	15530	Fungi	Ascomycetes	38.5328	41.8	GCA_000146945.1	-	-	-	AAGT01	39	14637	14446	2005/09/19	2009/08/27	Scaffolds or contigs	Broad Institute	-
Fusarium verticillioides 7600	334819	PRJNA15553	15553	Fungi	Ascomycetes	41.8851	48.7248	GCA_000149555.1	11	-	-	AAIM02	39	-	-	2005/10/18	2010/03/22	Chromosomes	Broad Institute	-
Arabidopsis lyrata subsp. lyrata	81972	PRJNA41137	41137	Plants	Land Plants	206.668	36.1	GCA_000004255.1	-	-	-	ADBK01	695	32534	32549	2009/11/30	2010/06/09	Scaffolds or contigs	US DOE Joint Genome Institute (JGI-PGF)	-
Arabidopsis lyrata subsp. petraea	59691	PRJDB1393	235280	Plants	Land Plants	202.972	37.6	GCA_000524985.1	-	-	-	BASP01	-	-	-	2014/01/16	2014/01/16	Scaffolds or contigs	Tokyo Institute of Technology	-
Botryotinia fuckeliana B05.10	332648	PRJNA15632	15632	Fungi	Ascomycetes	42.7438	43	GCA_000143535.1	-	-	-	AAID01	589	16584	16389	2005/10/18	2012/11/05	Scaffolds or contigs	Syngenta Biotechnology, Inc.	-
Botryotinia fuckeliana T4	999810	PRJNA64593	64593	Fungi	Ascomycetes	39.5114	43.5	GCA_000227075.1	-	-	-	Unplaced	118	16353	16353	-	-	Scaffolds or contigs	Genoscope	-
Botryotinia fuckeliana T4	999810	PRJNA162725	162725	Fungi	Ascomycetes	41.6129	42.4	GCA_000292645.1	-	-	-	ALOC01	56	-	-	2012/08/21	2012/11/05	Scaffolds or contigs	Wageningen University	-
Botryotinia fuckeliana BcDW1	1290391	PRJNA188482	188482	Fungi	Ascomycetes	42.1323	42	GCA_000349525.1	-	-	-	AORW01	454	11028	11028	2013/03/28	2013/05/31	Scaffolds or contigs	UC Davis	SAMN01910430
Capsella rubella	81985	PRJNA13878	13878	Plants	Land Plants	133.064	35.6	GCA_000375325.1	-	-	-	ANNY01	773	26776	28713	2013/04/19	2013/07/08	Scaffolds or contigs	DOE Joint Genome Institute	-
Aspergillus clavatus NRRL 1	344612	PRJNA15664	15664	Fungi	Ascomycetes	27.8594	49.2	GCA_000002715.1	-	-	-	AAKD03	143	9323	9121	2005/09/09	2011/07/05	Scaffolds or contigs	J. Craig Venter Institute	-
Neosartorya fischeri NRRL 181	331117	PRJNA15672	15672	Fungi	Ascomycetes	31.77	49.4	GCA_000149645.2	-	-	-	AAKE03	438	10678	10395	2005/09/09	2011/07/05	Scaffolds or contigs	TIGR	-
Micromonas pusilla CCMP1545	564608	PRJNA15678	15678	Plants	Green Algae	22.0001	65.8584	GCA_000151265.1	-	2	-	ACCP01	22	10288	10269	2009/04/07	2010/08/16	Chromosomes	Micromonas Genome Consortium	-
Hevea brasiliensis	3981	PRJNA80191	80191	Plants	Land Plants	1301.4	34.2	GCA_000340545.1	-	-	-	AJJZ01	1150326	-	-	2013/02/06	2013/03/15	Scaffolds or contigs	Centre for Chemical Biology (CCB@USM)	-
Carica papaya	3649	PRJNA20267	20267	Plants	Land Plants	369.782	35.3	GCA_000150535.1	-	-	-	ABIM01	17764	-	-	2008/04/23	2008/05/06	Scaffolds or contigs	The Papaya Genome Sequencing Consortium	-
Carica papaya	3649	PRJNA51697	51697	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of Illinois at Urbana-Champaign	-
Pediculus humanus corporis	121224	PRJNA16223	16223	Animals	Insects	110.781	27.5	GCA_000006295.1	-	-	-	AAZO01	1882	10993	10775	2007/04/18	2011/07/05	Scaffolds or contigs	The human body louse genome consortium	-
Ixodes scapularis	6945	PRJNA16232	16232	Animals	Other Animals	1765.38	45.5	GCA_000208615.1	-	-	-	ABJB01	369492	7137	5832	2008/01/16	2009/08/26	Scaffolds or contigs	Ixodes scapularis Genome Project	-
Aspergillus oryzae RIB40	510516	PRJNA17431	17431	Fungi	Ascomycetes	37.1178	48.2611	GCA_000184455.1	8	1	-	Unplaced	28	12335	12062	2005/12/21	2011/06/04	Chromosomes	National Institute of Technology and Evaluation (NITE), Japan	-
Aspergillus oryzae AS 3.951	1163405	PRJNA89727	89727	Fungi	Ascomycetes	36.3336	48.3	GCA_000278405.1	-	-	-	AKXN01	969	-	-	2012/07/16	2012/07/16	Scaffolds or contigs	South China University of Technology 	-
Aspergillus oryzae AS 3.863	1167532	PRJNA138081	138081	Fungi	Ascomycetes	36.4076	48.3	GCA_000278425.1	-	-	-	AKXL01	962	-	-	2012/07/16	2012/07/16	Scaffolds or contigs	South China University of Technology 	-
Aspergillus oryzae 3.042	1160506	PRJNA88495	88495	Fungi	Ascomycetes	36.5765	48.2824	GCA_000269785.2	-	2	-	AKHY01	226	11640	11397	2012/06/18	2012/09/12	Chromosomes	Tianjin University of Science & Technology	-
Aspergillus oryzae RIB326	1146887	PRJDB45	170976	Fungi	Ascomycetes	35.4264	48.4	GCA_000320905.1	-	-	-	BAEZ01	200	-	-	2012/07/19	2012/07/19	Scaffolds or contigs	National Institute of Advanced Industrial Science and Technology (AIST)	-
Aspergillus oryzae HBR9	1445555	PRJEB5179	237179	Fungi	Ascomycetes	35.2805	49.2	GCA_000531055.1	-	-	-	CBWY01	4209	-	-	2014/02/02	2014/02/02	Scaffolds or contigs	SVSB	-
Nectria haematococca mpVI 77-13-4	660122	PRJNA16586	16586	Fungi	Ascomycetes	51.2865	50.8	GCA_000151355.1	-	-	-	ACJF01	209	15708	15708	2009/08/24	2010/08/13	Scaffolds or contigs	DOE Joint Genome Institute	-
Oryzias latipes	8090	PRJDA51437	51437	Animals	Fishes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Keio University	-
Oryzias latipes	8090	PRJNA19569	19569	Animals	Fishes	662.701	40.4	GCA_000151825.1	-	-	-	BAAE01	82496	-	-	2007/04/02	2007/04/02	Scaffolds or contigs	Medaka genome sequencing project	-
Oryzias latipes	8090	PRJNA16702	16702	Animals	Fishes	869.818	42.2741	GCA_000313675.1	24	1	-	BAAF04	7307	22286	22092	2002/11/14	2007/04/02	Chromosomes	Medaka genome sequencing project	-
Theobroma cacao	3641	PRJEA49733	49733	Plants	Land Plants	326.875	34.2	GCA_000208745.1	-	-	-	CACC01	4792	-	-	2010/11/15	2010/11/15	Scaffolds or contigs	ICGS	-
Theobroma cacao	3641	PRJNA51633	51633	Plants	Land Plants	345.994	34	GCA_000403535.1	10	-	-	ALXC01	814	241	264	2013/05/29	2013/05/30	Chromosomes	Cacao genome consortium	-
Myotis lucifugus	59463	PRJNA16951	16951	Animals	Mammals	2034.58	42.5	GCA_000147115.1	-	-	-	AAPE02	11654	-	-	2006/06/01	2010/09/14	Scaffolds or contigs	Broad Institute	-
Ricinus communis	3988	PRJNA16585	16585	Plants	Land Plants	350.622	34.7148	GCA_000151685.2	-	2	-	AASG02	25763	31954	31258	2006/07/18	2009/08/26	Scaffolds or contigs	J. Craig Venter Institute	-
Phycomyces blakesleeanus NRRL 1555(-)	763407	PRJNA61391	61391	Fungi	Other Fungi	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	DOE Joint Genome Institute	-
Ascosphaera apis ARSEF 7405	392613	PRJNA17285	17285	Fungi	Ascomycetes	21.5221	47.6	GCA_000149775.1	-	-	-	AARE01	1667	-	-	2006/07/06	2009/05/22	Scaffolds or contigs	Baylor College of Medicine	-
Laccaria bicolor S238N-H82	486041	PRJNA19043	19043	Fungi	Basidiomycetes	64.8774	47	GCA_000143565.1	-	-	-	ABFE01	665	18264	18215	2007/11/29	2009/08/26	Scaffolds or contigs	Laccaria Genome Consortium	-
Panicum virgatum	38727	PRJNA40657	40657	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	DOE Joint Genome Institute	-
Vigna radiata	157791	PRJNA32351	32351	Plants	Land Plants	10.1012	34.9	GCA_000180895.1	-	-	-	BABL01	-	-	-	2009/11/30	2009/11/30	Scaffolds or contigs	Genome Institute, National Center for Genetic Engineering and Biotechnology	-
Taenia solium	6204	PRJNA170813	170813	Animals	Flatworms	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	Taenia solium Genome Consortium	-
Callorhinchus milii	7868	PRJNA18361	18361	Animals	Fishes	974.482	42.3	GCA_000165045.2	-	-	-	AAVX02	21203	-	-	2007/01/05	2013/12/20	Scaffolds or contigs	Institute of Molecular and Cell Biology, Singapore	SAMN00000800
Chlorella variabilis	554065	PRJNA45853	45853	Plants	Green Algae	46.1595	67.1	GCA_000147415.1	-	-	-	ADIC01	414	9780	9780	2010/08/31	2010/11/02	Scaffolds or contigs	JGI	-
Brachypodium distachyon	15368	PRJNA32607	32607	Plants	Land Plants	272.059	46.4213	GCA_000005505.1	5	-	-	ADDN01	84	-	-	2010/02/18	2010/03/22	Chromosomes	The International Brachypodium Initiative	-
Brachypodium distachyon	15368	PRJNA74771	74771	Plants	Land Plants	272.059	46.4239	GCA_000005505.1	5	1	-	ADDN01	84	26250	24689	2008/07/01	2010/02/23	Chromosomes	NCBI	-
Brachypodium distachyon	15368	PRJNA182267	182267	Plants	Land Plants	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	University of California, Davis	-
Malassezia globosa CBS 7966	425265	PRJNA18719	18719	Fungi	Basidiomycetes	8.95812	52.1	GCA_000181695.1	-	-	-	AAYY01	67	4286	4286	2007/11/02	2009/11/11	Scaffolds or contigs	The Procter & Gamble Company	-
Malassezia restricta CBS 7877	425264	PRJNA18721	18721	Fungi	Basidiomycetes	4.62844	55.3	GCA_000169275.1	-	-	-	AAXK01	3812	-	-	2007/11/02	2007/11/26	Scaffolds or contigs	The Procter & Gamble Company	-
Pyrenophora tritici-repentis Pt-1C-BFP	426418	PRJNA18815	18815	Fungi	Ascomycetes	37.9975	50.9	GCA_000149985.1	-	-	-	AAXI01	48	12300	12169	2007/04/10	2009/08/26	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. lycopersici 4287	426428	PRJNA18813	18813	Fungi	Ascomycetes	61.4707	48.4464	GCA_000149955.1	15	-	-	AAXH01	117	-	-	2007/04/10	2010/12/27	Chromosomes	Broad Institute	-
Fusarium oxysporum FOSC 3-a	909455	PRJNA67067	67067	Fungi	Ascomycetes	47.9063	47.6	GCA_000271745.2	-	-	-	AFML01	168	-	-	2012/06/22	2014/02/06	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum Fo47	660027	PRJNA67069	67069	Fungi	Ascomycetes	49.6646	47.7	GCA_000271705.2	-	-	-	AFMM01	124	-	-	2012/06/22	2014/02/06	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum Fo5176	660025	PRJNA68027	68027	Fungi	Ascomycetes	54.7676	47.8	GCA_000222805.1	-	-	-	AFQF01	-	17817	17817	2011/08/05	2012/06/29	Scaffolds or contigs	CSIRO	-
Fusarium oxysporum f. sp. lycopersici MN25	1080343	PRJNA72769	72769	Fungi	Ascomycetes	48.6374	47.8	GCA_000259975.2	-	-	-	AGBH01	388	-	-	2012/04/27	2014/02/06	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. pisi HDV247	1080344	PRJNA72771	72771	Fungi	Ascomycetes	55.1882	47.6	GCA_000260075.2	-	-	-	AGBI01	472	-	-	2012/04/27	2014/02/06	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. radicis-lycopersici 26381	1089448	PRJNA73535	73535	Fungi	Ascomycetes	49.3593	47.6	GCA_000260155.3	-	-	-	AGNB01	418	-	-	2012/04/27	2012/05/01	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. vasinfectum 25433	1089449	PRJNA73537	73537	Fungi	Ascomycetes	52.9144	47.7	GCA_000260175.2	-	-	-	AGNC01	985	-	-	2012/04/27	2012/05/01	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. cubense tropical race 4 54006	1089451	PRJNA73539	73539	Fungi	Ascomycetes	46.5538	47.5	GCA_000260195.2	-	-	-	AGND01	418	-	-	2012/04/27	2012/05/01	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. melonis 26406	1089452	PRJNA73541	73541	Fungi	Ascomycetes	54.0343	47.5	GCA_000260495.2	-	-	-	AGNE01	1146	-	-	2012/04/30	2014/02/06	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. conglutinans race 2 54008	1089457	PRJNA73543	73543	Fungi	Ascomycetes	53.5754	47.7	GCA_000260215.2	-	-	-	AGNF01	2552	-	-	2012/04/27	2012/05/01	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. raphani 54005	1089458	PRJNA73545	73545	Fungi	Ascomycetes	53.4994	47.8	GCA_000260235.2	-	-	-	AGNG01	1218	-	-	2012/04/27	2014/02/06	Scaffolds or contigs	Broad Institute	-
Fusarium oxysporum f. sp. cubense race 1	1229664	PRJNA174274	174274	Fungi	Ascomycetes	47.6574	48	GCA_000350345.1	-	-	-	AMGP01	1341	15626	15438	2013/04/02	2013/04/09	Scaffolds or contigs	BGI	-
Fusarium oxysporum f. sp. cubense race 4	1229665	PRJNA174275	174275	Fungi	Ascomycetes	52.9263	48.1	GCA_000350365.1	-	-	-	AMGQ01	840	14596	14459	2013/04/02	2013/04/04	Scaffolds or contigs	BGI	-
Fusarium oxysporum f. sp. ciceris	62683	PRJNA188291	188291	Fungi	Ascomycetes	-	-	-	-	-	-	-	-	-	-	-	-	SRA or Traces	International Crops Research Institute for the Semi-Arid Tropics	-
Anolis carolinensis	28377	PRJNA18787	18787	Animals	Reptiles	1799.14	40.8238	GCA_000090745.2	13	1	-	AAWZ02	6646	16822	16546	2007/02/15	2011/03/30	Chromosomes	Broad Institute	-
